country,year,lat,lon,geolev1,geolev2
ethiopia,2011,7.1643297276,39.8203710541,ETH.8,ETH.8.2
ethiopia,2011,7.17430039499,37.9492676831,ETH.10,ETH.10.13
ethiopia,2011,7.19057165925,35.4228308345,ETH.10,ETH.10.18
ethiopia,2011,7.22604668328,35.2944712687,ETH.6,ETH.6.2
ethiopia,2011,7.25810515348,35.3135608448,ETH.6,ETH.6.2
ethiopia,2011,7.25898773197,40.6146233206,ETH.8,ETH.8.2
ethiopia,2011,7.26850368689,38.6020916798,ETH.8,ETH.8.10
ethiopia,2011,7.27442629343,35.2563379766,ETH.6,ETH.6.2
ethiopia,2011,7.27556859449,35.3761222945,ETH.10,ETH.10.18
ethiopia,2011,7.27673837537,38.1157382755,ETH.10,ETH.10.1
ethiopia,2011,7.28374522639,37.7571481782,ETH.10,ETH.10.15
ethiopia,2011,7.30240486926,35.1983637711,ETH.6,ETH.6.2
ethiopia,2011,7.31318183469,36.5951905108,ETH.10,ETH.10.14
ethiopia,2011,7.34918791893,38.8049340076,ETH.8,ETH.8.10
ethiopia,2011,7.37676330298,37.8935648714,ETH.10,ETH.10.15
ethiopia,2011,7.38160282799,37.6033985811,ETH.10,ETH.10.13
ethiopia,2011,7.40568344221,38.0810753873,ETH.10,ETH.10.1
ethiopia,2011,7.42843060501,38.9573869302,ETH.8,ETH.8.1
ethiopia,2011,7.43667493729,41.0005629905,ETH.8,ETH.8.2
ethiopia,2011,7.442807492,37.8659104876,ETH.10,ETH.10.15
ethiopia,2011,7.44867719122,35.868074501,ETH.10,ETH.10.14
ethiopia,2011,7.47556744642,36.4429756569,ETH.8,ETH.8.8
ethiopia,2011,7.51326045706,37.6461378355,ETH.10,ETH.10.13
ethiopia,2011,7.54783077574,37.0818248622,ETH.8,ETH.8.8
ethiopia,2011,7.58861044429,39.7945944298,ETH.8,ETH.8.1
ethiopia,2011,7.64691311056,34.2562839247,ETH.6,ETH.6.1
ethiopia,2011,7.65816033645,38.0946319154,ETH.10,ETH.10.20
ethiopia,2011,7.66912376181,36.92553529,ETH.8,ETH.8.8
ethiopia,2011,7.67211701378,35.8400122926,ETH.10,ETH.10.14
ethiopia,2011,7.6926289959,37.7336160957,ETH.10,ETH.10.13
ethiopia,2011,7.70538466173,37.6505389613,ETH.10,ETH.10.13
ethiopia,2011,7.73169598877,37.4985838007,ETH.10,ETH.10.22
ethiopia,2011,7.77573960381,39.8661143537,ETH.8,ETH.8.1
ethiopia,2011,7.79349904803,38.2505601834,ETH.10,ETH.10.20
ethiopia,2011,7.81991142387,37.828597498,ETH.10,ETH.10.12
ethiopia,2011,7.82727102592,35.3924934526,ETH.10,ETH.10.18
ethiopia,2011,7.83013692022,34.5080541478,ETH.6,ETH.6.1
ethiopia,2011,7.88005862562,36.0983250614,ETH.8,ETH.8.8
ethiopia,2011,7.8891255011,37.5456591429,ETH.10,ETH.10.22
ethiopia,2011,7.97698683396,37.4779072445,ETH.10,ETH.10.22
ethiopia,2011,7.98501581104,38.1539348643,ETH.10,ETH.10.20
ethiopia,2011,8.00671193105,34.5566341877,ETH.6,ETH.6.1
ethiopia,2011,8.07578959014,38.4395969167,ETH.10,ETH.10.12
ethiopia,2011,8.08842299138,39.0349251986,ETH.8,ETH.8.1
ethiopia,2011,8.0938276118,36.4574609552,ETH.8,ETH.8.7
ethiopia,2011,8.11332653211,38.7753045688,ETH.8,ETH.8.15
ethiopia,2011,8.11835892139,37.711581489,ETH.10,ETH.10.12
ethiopia,2011,8.13327890849,38.2086730522,ETH.10,ETH.10.12
ethiopia,2011,8.16863199454,38.6464528783,ETH.10,ETH.10.12
ethiopia,2011,8.16979824749,35.6406321333,ETH.8,ETH.8.7
ethiopia,2011,8.17949664228,37.9272178152,ETH.10,ETH.10.12
ethiopia,2011,8.18930636005,36.4699847397,ETH.8,ETH.8.7
ethiopia,2011,8.19726994714,34.2016617219,ETH.6,ETH.6.1
ethiopia,2011,8.20429943583,37.7931347282,ETH.10,ETH.10.12
ethiopia,2011,8.27575877219,33.980758515,ETH.6,ETH.6.3
ethiopia,2011,8.39200458575,33.4683567701,ETH.6,ETH.6.3
ethiopia,2011,8.40007079517,33.938508848,ETH.6,ETH.6.3
ethiopia,2011,8.46646303095,37.4369214482,ETH.8,ETH.8.12
ethiopia,2011,8.57190296323,40.3175172324,ETH.8,ETH.8.1
ethiopia,2011,8.61492078832,34.6514363264,ETH.8,ETH.8.9
ethiopia,2011,8.6361010406,38.1519350254,ETH.8,ETH.8.4
ethiopia,2011,8.64302754866,37.0632145326,ETH.8,ETH.8.8
ethiopia,2011,8.65230864709,40.6178499401,ETH.8,ETH.8.11
ethiopia,2011,8.6536780825,36.6077474888,ETH.8,ETH.8.16
ethiopia,2011,8.66161555833,35.6426976235,ETH.8,ETH.8.7
ethiopia,2011,8.68349171525,38.8054367657,ETH.8,ETH.8.15
ethiopia,2011,8.72042840438,37.9114568164,ETH.8,ETH.8.4
ethiopia,2011,8.72717898314,39.1876998149,ETH.8,ETH.8.15
ethiopia,2011,8.73814791477,39.840529416,ETH.8,ETH.8.15
ethiopia,2011,8.74304517464,36.4844481911,ETH.8,ETH.8.16
ethiopia,2011,8.7688653041,35.5671754136,ETH.8,ETH.8.13
ethiopia,2011,8.82166292432,38.3469271782,ETH.8,ETH.8.4
ethiopia,2011,8.84115434604,37.9135797978,ETH.8,ETH.8.12
ethiopia,2011,8.84297565884,43.8706580642,ETH.9,ETH.9.4
ethiopia,2011,8.89876421903,40.2744651027,ETH.8,ETH.8.11
ethiopia,2011,8.93900132215,40.4714489125,ETH.8,ETH.8.11
ethiopia,2011,8.97089097863,38.6245563425,ETH.8,ETH.8.4
ethiopia,2011,9.00397364652,39.0027426232,ETH.8,ETH.8.17
ethiopia,2011,9.0093694062,40.7218752036,ETH.8,ETH.8.11
ethiopia,2011,9.01530115929,35.046540828,ETH.8,ETH.8.9
ethiopia,2011,9.0308423142,36.4037942076,ETH.8,ETH.8.16
ethiopia,2011,9.03815880629,43.2537267944,ETH.9,ETH.9.3
ethiopia,2011,9.0560702976,38.5868125112,ETH.8,ETH.8.12
ethiopia,2011,9.06263842723,41.6874705216,ETH.8,ETH.8.14
ethiopia,2011,9.06748034312,43.5342684053,ETH.9,ETH.9.4
ethiopia,2011,9.07702977605,35.6156340346,ETH.8,ETH.8.13
ethiopia,2011,9.09607306007,43.2041452368,ETH.9,ETH.9.3
ethiopia,2011,9.15085019484,41.8440556364,ETH.8,ETH.8.14
ethiopia,2011,9.18318556596,42.0206883252,ETH.8,ETH.8.14
ethiopia,2011,9.22079544864,42.4952242973,ETH.8,ETH.8.14
ethiopia,2011,9.23975778401,42.4419432943,ETH.8,ETH.8.14
ethiopia,2011,9.2463064163,42.2173944859,ETH.7,ETH.7.1
ethiopia,2011,9.24924684111,40.0598560794,ETH.2,ETH.2.3
ethiopia,2011,9.26445855436,42.1477441163,ETH.7,ETH.7.1
ethiopia,2011,9.27305633369,42.132216294,ETH.7,ETH.7.1
ethiopia,2011,9.30185627536,42.5964917162,ETH.9,ETH.9.3
ethiopia,2011,9.3102972075,42.1842178725,ETH.7,ETH.7.1
ethiopia,2011,9.31507331624,42.1446521473,ETH.7,ETH.7.1
ethiopia,2011,9.32340832355,43.2784116014,ETH.9,ETH.9.3
ethiopia,2011,9.33257557657,42.2485029939,ETH.7,ETH.7.1
ethiopia,2011,9.33726350871,42.2004270507,ETH.7,ETH.7.1
ethiopia,2011,9.33809911164,42.0999509753,ETH.7,ETH.7.1
ethiopia,2011,9.35629919036,40.2364697018,ETH.2,ETH.2.3
ethiopia,2011,9.35810274536,35.5751653852,ETH.8,ETH.8.13
ethiopia,2011,9.36029530834,42.0920688567,ETH.8,ETH.8.14
ethiopia,2011,9.37107710036,42.1031932694,ETH.8,ETH.8.14
ethiopia,2011,9.3723549327,38.3223627848,ETH.8,ETH.8.12
ethiopia,2011,9.37406026468,41.5884594299,ETH.8,ETH.8.14
ethiopia,2011,9.38880972769,35.6143908552,ETH.8,ETH.8.13
ethiopia,2011,9.39137371981,36.2194348147,ETH.4,ETH.4.2
ethiopia,2011,9.40053953262,42.8585260119,ETH.9,ETH.9.3
ethiopia,2011,9.47303240515,41.7186492241,ETH.9,ETH.9.9
