country,year1,year2,index1,index2,households
malawi,2010,2016,743,795,15.0
malawi,2010,2016,744,796,16.0
malawi,2010,2016,745,797,16.0
malawi,2010,2016,746,798,15.0
malawi,2010,2016,747,799,16.0
malawi,2010,2016,748,800,15.0
malawi,2010,2016,749,801,15.0
malawi,2010,2016,750,802,6.0
malawi,2010,2016,751,803,16.0
malawi,2010,2016,752,804,16.0
malawi,2010,2016,753,805,15.0
malawi,2010,2016,754,806,16.0
malawi,2010,2016,755,807,14.0
malawi,2010,2016,756,808,16.0
malawi,2010,2016,757,809,12.0
malawi,2010,2016,758,810,15.0
malawi,2010,2016,759,811,16.0
nigeria,2010,2015,862,1343,3.0
nigeria,2010,2015,863,1344,5.0
nigeria,2010,2015,864,1345,7.0
nigeria,2010,2015,865,1346,9.0
nigeria,2010,2015,866,1347,5.0
nigeria,2010,2015,867,1348,9.0
nigeria,2010,2015,868,1349,8.0
nigeria,2010,2015,869,1350,2.0
nigeria,2010,2015,870,1351,3.0
nigeria,2010,2015,871,1352,5.0
nigeria,2010,2015,872,1353,6.0
nigeria,2010,2015,873,1354,7.0
nigeria,2010,2015,874,1355,7.0
nigeria,2010,2015,875,1356,6.0
nigeria,2010,2015,876,1357,4.0
nigeria,2010,2015,877,1358,6.0
nigeria,2010,2015,878,1359,5.0
nigeria,2010,2015,879,1360,10.0
nigeria,2010,2015,880,1361,8.0
nigeria,2010,2015,881,1362,9.0
nigeria,2010,2015,882,1363,6.0
nigeria,2010,2015,883,1364,6.0
nigeria,2010,2015,884,1365,6.0
nigeria,2010,2015,885,1366,8.0
nigeria,2010,2015,886,1367,5.0
nigeria,2010,2015,887,1368,9.0
nigeria,2010,2015,888,1369,9.0
nigeria,2010,2015,889,1370,3.0
nigeria,2010,2015,890,1371,4.0
nigeria,2010,2015,891,1372,4.0
nigeria,2010,2015,892,1373,5.0
nigeria,2010,2015,893,1374,8.0
nigeria,2010,2015,894,1375,7.0
nigeria,2010,2015,895,1376,8.0
nigeria,2010,2015,896,1377,7.0
nigeria,2010,2015,897,1378,5.0
nigeria,2010,2015,898,1379,9.0
nigeria,2010,2015,899,1380,6.0
nigeria,2010,2015,900,1381,8.0
nigeria,2010,2015,901,1382,9.0
nigeria,2010,2015,902,1383,6.0
nigeria,2010,2015,903,1384,7.0
nigeria,2010,2015,904,1385,8.0
nigeria,2010,2015,905,1386,6.0
nigeria,2010,2015,906,1387,6.0
nigeria,2010,2015,907,1388,1.0
nigeria,2010,2015,908,1389,2.0
nigeria,2010,2015,909,1390,6.0
nigeria,2010,2015,910,1391,9.0
nigeria,2010,2015,911,1392,4.0
nigeria,2010,2015,912,1393,7.0
nigeria,2010,2015,913,1394,9.0
nigeria,2010,2015,914,1395,6.0
nigeria,2010,2015,915,1396,7.0
nigeria,2010,2015,916,1397,6.0
nigeria,2010,2015,917,1398,7.0
nigeria,2010,2015,918,1399,4.0
nigeria,2010,2015,919,1400,8.0
nigeria,2010,2015,920,1401,8.0
nigeria,2010,2015,921,1402,9.0
nigeria,2010,2015,922,1403,9.0
nigeria,2010,2015,923,1404,10.0
nigeria,2010,2015,924,1405,6.0
nigeria,2010,2015,925,1406,7.0
nigeria,2010,2015,926,1407,8.0
nigeria,2010,2015,927,1408,9.0
nigeria,2010,2015,928,1409,5.0
nigeria,2010,2015,929,1410,6.0
nigeria,2010,2015,930,1411,9.0
nigeria,2010,2015,931,1412,10.0
nigeria,2010,2015,932,1413,3.0
nigeria,2010,2015,933,1414,7.0
nigeria,2010,2015,934,1415,6.0
nigeria,2010,2015,935,1416,5.0
nigeria,2010,2015,936,1417,10.0
nigeria,2010,2015,937,1418,5.0
nigeria,2010,2015,938,1419,9.0
nigeria,2010,2015,939,1420,6.0
nigeria,2010,2015,940,1421,4.0
nigeria,2010,2015,941,1422,2.0
nigeria,2010,2015,942,1423,8.0
nigeria,2010,2015,943,1424,5.0
nigeria,2010,2015,944,1425,6.0
nigeria,2010,2015,945,1426,4.0
nigeria,2010,2015,946,1427,7.0
nigeria,2010,2015,947,1428,5.0
nigeria,2010,2015,948,1429,9.0
nigeria,2010,2015,949,1430,6.0
nigeria,2010,2015,950,1431,7.0
