country,year,lat,lon,index,et_index,n,geolev1,geolev2,rooms,electric,phone,radio,tv,auto,floor_qual,toilet_qual,watsup_qual,ea_id
uganda,2013,0.827234983444214,32.8440856933594,-0.207578315374458,,10,UGA.23,UGA.23.1,2.1,0.0,0.6,0.8,0.0,0.0,1.9,3.7,3.0,1120003
uganda,2013,0.827926993370056,31.8434658050537,-0.432162579955508,,3,UGA.25,UGA.25.1,2.33333333333333,0.0,0.666666666666667,0.666666666666667,0.0,0.0,1.0,3.0,3.0,1030003
uganda,2013,0.887235999107361,30.6932125091553,-0.274742278448422,,6,UGA.24,UGA.24.2,3.16666666666667,0.0,0.5,0.833333333333333,0.0,0.0,1.0,3.83333333333333,3.83333333333333,4070005
uganda,2013,0.900533974170685,33.1015129089355,0.548693825783272,,6,UGA.17,UGA.17.2,2.33333333333333,0.166666666666667,1.0,0.833333333333333,0.166666666666667,0.0,4.0,3.83333333333333,3.16666666666667,2050017
uganda,2013,0.924404978752136,33.1305084228516,-0.17139907464405,,6,UGA.17,UGA.17.2,2.5,0.0,0.666666666666667,0.5,0.0,0.0,2.0,4.0,3.0,2050001
uganda,2013,0.940078973770142,30.811918258667,0.831924890530865,,3,UGA.24,UGA.24.2,3.0,0.333333333333333,1.0,1.0,0.333333333333333,0.0,4.0,4.0,3.0,4070002
uganda,2013,1.00910198688507,30.5577793121338,-0.41075672992431,,3,UGA.24,UGA.24.2,2.33333333333333,0.0,0.666666666666667,0.333333333333333,0.0,0.0,1.0,4.0,2.33333333333333,4070007
uganda,2013,1.02071797847748,31.1242141723633,0.491113656648773,,8,UGA.24,UGA.24.1,2.875,0.25,0.875,0.75,0.25,0.125,3.0,3.75,3.0,4070003
uganda,2013,1.060103058815,33.0102233886719,-0.303873678049551,,8,UGA.17,UGA.17.2,2.75,0.0,0.625,0.625,0.0,0.0,1.375,3.5,3.0,2050013
uganda,2013,1.07345402240753,34.1650390625,1.479981120786,,3,UGA.38,UGA.38.4,2.0,1.0,1.0,1.0,0.666666666666667,0.333333333333333,4.0,4.0,5.0,0
uganda,2013,1.15165495872498,34.261589050293,0.0231268456644076,,8,UGA.54,UGA.54.1,2.375,0.25,0.625,0.75,0.25,0.0,1.75,3.5,3.75,2150004
uganda,2013,1.21842396259308,34.2704315185547,-0.0743521213887423,,7,UGA.54,UGA.54.1,2.71428571428571,0.142857142857143,0.857142857142857,0.857142857142857,0.0,0.0,1.0,3.85714285714286,3.28571428571429,2150002
uganda,2013,1.24573802947998,34.2635726928711,0.244207539612625,,8,UGA.54,UGA.54.1,2.875,0.125,0.75,0.75,0.375,0.0,2.125,3.75,4.375,2150001
uganda,2013,1.2560830116272,30.8103256225586,-0.289317145101374,,7,UGA.9,UGA.9.2,2.28571428571429,0.0,0.714285714285714,0.571428571428571,0.0,0.0,1.42857142857143,3.57142857142857,3.28571428571429,4030009
uganda,2013,1.26080000400543,33.7970542907715,-0.182142226750313,,8,UGA.50,UGA.50.4,2.25,0.125,0.5,0.5,0.125,0.0,2.125,3.5,3.625,2100007
uganda,2013,1.3122570514679,33.8341369628906,-0.845960205046887,,1,UGA.29,UGA.29.2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0
uganda,2013,1.36187100410461,31.4513874053955,-0.272991181134299,,5,UGA.9,UGA.9.1,2.4,0.0,0.6,0.8,0.0,0.0,1.0,4.0,4.0,4030004
uganda,2013,1.37214004993439,33.9079666137695,-0.123317448785408,,8,UGA.29,UGA.29.2,3.375,0.0,0.5,0.875,0.0,0.0,1.75,3.875,3.5,2080005
uganda,2013,1.44195699691772,31.155403137207,-0.409516746005715,,8,UGA.9,UGA.9.2,2.125,0.0,0.5,0.75,0.0,0.0,1.0,3.625,3.875,4030007
uganda,2013,1.44564294815063,31.3347625732422,0.242213378944593,,4,UGA.9,UGA.9.1,2.5,0.0,0.75,1.0,0.0,0.0,3.25,4.0,4.25,4030002
uganda,2013,1.47465205192566,31.3388938903809,0.361180468954282,,8,UGA.9,UGA.9.1,3.375,0.25,1.0,0.75,0.25,0.0,1.75,4.0,4.125,4030006
uganda,2013,1.47599601745605,33.9171676635742,1.15122795245583,,6,UGA.29,UGA.29.2,3.16666666666667,0.5,0.833333333333333,1.0,0.666666666666667,0.333333333333333,3.5,3.83333333333333,4.16666666666667,2080001
uganda,2013,1.53158402442932,34.0501136779785,-0.747705649860786,,9,UGA.29,UGA.29.2,2.44444444444444,0.0,0.333333333333333,0.333333333333333,0.0,0.0,1.0,2.44444444444444,3.22222222222222,2080007
uganda,2013,1.62602496147156,31.5849761962891,0.281414686890055,,4,UGA.36,UGA.36.2,1.5,0.0,1.0,0.5,0.0,0.0,4.0,4.0,5.0,4090005
uganda,2013,1.66368901729584,33.967887878418,-0.326802465302188,,10,UGA.22,UGA.22.3,3.8,0.0,0.5,0.4,0.1,0.0,1.6,2.9,3.1,2070006
