"geolev","index","n.x","dhs","n.y","predictions","n","country"
"454208005",-0.561052554586029,1450,-0.708011766666667,3,-0.541027043333333,3,"Malawi"
"454208006",-0.601391778711734,1424,-0.72984908,2,-0.56339707,2,"Malawi"
"454208007",-0.491718503203167,665,-0.350152145,3,-0.408706866666667,3,"Malawi"
"454208008",0.685282649297519,431,0.018097471,1,0.52195525,1,"Malawi"
"454208009",-0.61335236466798,491,-0.77371424,1,-0.6936399,1,"Malawi"
"454209001",-0.545997472169833,2436,-0.65147359375,8,-0.60847196625,8,"Malawi"
"454209002",-0.363518770942216,2428,-0.529468591666667,6,-0.632250093333333,6,"Malawi"
"454209003",-0.100511827239354,1314,-0.110450366,5,0.091799936,5,"Malawi"
"454209004",-0.423515341304376,1290,-0.70721502,3,-0.60210694,3,"Malawi"
"454209005",-0.468385506442601,1280,-0.657510425,2,-0.6195823,2,"Malawi"
"454209006",-0.487758627856719,1150,-0.6200178125,4,-0.6686160525,4,"Malawi"
"454209007",-0.494396867947521,627,-0.7289105,1,-0.46169865,1,"Malawi"
"454209008",-0.484235906956968,534,-0.646660635,2,-0.668511435,2,"Malawi"
"454301001",-0.427857733751431,7545,-0.55616039625,12,-0.515974045,12,"Malawi"
"454301002",-0.47182472808218,2479,-0.4808572425,4,-0.5315291375,4,"Malawi"
"454301003",-0.524401282562664,1776,-0.74486115,3,-0.576237153333333,3,"Malawi"
"454301004",-0.423530218539021,1773,-0.5269150775,4,-0.26918336,4,"Malawi"
"454301005",-0.54636284927108,1546,-0.7472386,2,-0.66394565,2,"Malawi"
"454301006",-0.489770843827001,1240,-0.75121903,1,-0.5668448,1,"Malawi"
"454301007",0.652589253222116,810,0.0135696816,2,0.640220995,2,"Malawi"
"454301008",-0.463138959982454,706,-0.7590068,2,-0.67797313,2,"Malawi"
"454302001",-0.520754246000851,2570,-0.536002964285714,7,-0.56123727,7,"Malawi"
"454302002",-0.527384666829428,1913,-0.72088389,4,-0.690840825,4,"Malawi"
"454302003",-0.593165519430869,1244,-0.706114623333333,3,-0.55622836,3,"Malawi"
"454302004",0.413087885838443,477,0.856475,1,0.482956,1,"Malawi"
"454302005",-0.526277961776456,1125,-0.56412543,3,-0.443388693333333,3,"Malawi"
"454302006",-0.49266522991456,927,-0.479516253333333,3,-0.314659206666667,3,"Malawi"
"454302007",-0.29429055653312,877,-0.517729156666667,3,-0.0380678739,3,"Malawi"
"454302008",-0.618189921356331,581,-0.67561316,1,-0.5339233,1,"Malawi"
"454302009",-0.44341888982724,520,-0.62051207,1,-0.67157096,1,"Malawi"
"454302010",-0.342641362527295,515,-0.5737298,1,-0.42242336,1,"Malawi"
"454302011",-0.434845169740973,458,-0.6760792,1,-0.46123016,1,"Malawi"
"454302888",NA,NA,-0.76656014,1,-0.56790376,1,"Malawi"
"454303001",1.10651529469733,1844,0.573661655,2,0.844727035,2,"Malawi"
"454303002",-0.479403796881226,3306,-0.629602364285714,7,-0.5674413,7,"Malawi"
"454303003",-0.418935276344449,3174,-0.561908765,4,-0.5823931925,4,"Malawi"
"454303004",-0.481575882869333,2786,-0.599565163333333,6,-0.4380411119,6,"Malawi"
"454303005",-0.484581474233607,1836,-0.5546153,3,-0.551559083333333,3,"Malawi"
"454303006",-0.0841657865793817,1347,0.0288794215,4,0.13717936925,4,"Malawi"
"454303007",-0.454224366183566,1372,-0.4540679,2,-0.33650617,2,"Malawi"
"454304001",-0.340342796660647,1876,-0.469770747777778,9,-0.298284951777778,9,"Malawi"
"454304002",-0.501591058926771,1874,-0.74155057,5,-0.522942344,5,"Malawi"
"454304003",-0.371859012792539,1339,-0.638977828333333,6,-0.0181252905,6,"Malawi"
"454304004",-0.540646601848781,981,-0.6300769175,4,-0.48118264,4,"Malawi"
"454304005",-0.469460063780767,834,-0.4315086608,5,-0.615179344,5,"Malawi"
"454305001",1.03309915439544,14605,0.565343523119048,42,0.934631126904762,42,"Malawi"
"454305002",-0.114315730621433,1633,-0.375285885,2,0.3388126725,2,"Malawi"
"454305003",-0.206027239445098,1645,-0.7019959,1,-0.05713308,1,"Malawi"
"454305004",-0.39969982104224,1398,-0.2515489453,2,0.23182035,2,"Malawi"
"454305005",-0.446317150025954,918,-0.754943,1,-0.418065,1,"Malawi"
"454305006",-0.398983857301425,910,-0.7483863,1,-0.696577,1,"Malawi"
"454305007",-0.492338436925213,810,NA,NA,NA,NA,"Malawi"
"454305008",-0.491275132780973,634,-0.3745067,1,0.04893581,1,"Malawi"
"454307001",-0.384625118955949,2901,-0.186949616363636,11,0.0373194954545455,11,"Malawi"
"454307002",-0.27682638506672,2186,-0.483094975,2,0.2662373025,2,"Malawi"
"454307003",-0.242839379695832,1624,-0.36434698,3,-0.209697075333333,3,"Malawi"
"454307004",-0.487283244854832,1165,-0.443533815,2,-0.578503615,2,"Malawi"
"454307005",-0.541190293688559,1060,-0.73293567,1,-0.66102564,1,"Malawi"
"454307006",-0.526760690581481,1225,-0.64599282,3,-0.527371973333333,3,"Malawi"
"454307007",-0.428273308729062,1118,-0.6413581,1,0.060040195,1,"Malawi"
"454307008",-0.520238690571026,864,-0.547910746666667,3,-0.67064945,3,"Malawi"
"454307009",-0.529381082853698,827,-0.64950925,2,-0.67513387,2,"Malawi"
"454307010",-0.528807349290818,765,-0.663560365,2,-0.6843122,2,"Malawi"
"454308001",-0.38148927534465,3650,-0.409599569090909,11,-0.235345325454545,11,"Malawi"
"454308002",-0.412580465708769,2210,-0.588825885714286,7,-0.511828655714286,7,"Malawi"
"454308003",-0.173335363241253,1886,-0.1486168375,4,0.1343505975,4,"Malawi"
"454308004",-0.545767365645512,1906,-0.613039195,4,-0.4814055575,4,"Malawi"
"454308005",-0.240824789966288,1585,-0.04867728,2,0.3588218235,2,"Malawi"
"454308006",-0.5012101453301,1024,-0.72587105,2,-0.23532098,2,"Malawi"
"454309001",-0.38891193672126,4958,-0.482981239047619,21,-0.465467073809524,21,"Malawi"
"454309002",-0.477849048739478,2381,-0.6681237575,8,-0.57771579875,8,"Malawi"
"454310001",-0.594956757472263,3091,-0.789950208888889,9,-0.51527371,9,"Malawi"
"454310002",-0.677793470321859,1929,-0.880609736666667,6,-0.590368765,6,"Malawi"
"454310003",-0.641354138079346,1402,-0.638034796666667,3,-0.670951316666667,3,"Malawi"
"454310004",0.244468923912619,1073,-0.424152373333333,3,0.447904986666667,3,"Malawi"
"454310005",-0.304851634769701,677,-0.28418267,2,-0.06017986,2,"Malawi"
"454310006",-0.622442832946863,714,-0.516009475,2,-0.661639935,2,"Malawi"
"454310007",-0.642739339246488,620,-0.7815439,1,-0.604545,1,"Malawi"
"454311001",-0.606274091473781,1308,-0.742798554285714,7,-0.612206557142857,7,"Malawi"
"454311002",-0.498057676375497,906,-0.3962693775,4,-0.1937026325,4,"Malawi"
"454311003",-0.680719186911086,828,-0.74528129,4,-0.6660686375,4,"Malawi"
"454311004",-0.672223012320897,733,-0.841273425714286,7,-0.665702937142857,7,"Malawi"
"454311005",-0.676598668536497,457,-0.79310775,2,-0.247345375,2,"Malawi"
"454311006",-0.725718516883324,506,-0.8442493,1,-0.52263,1,"Malawi"
"454311007",-0.0882091194425215,415,-0.1536134225,4,0.365210445,4,"Malawi"
"454312001",-0.387145899768961,4029,-0.524079768888889,18,-0.314563588,18,"Malawi"
